"Designator","Mid X","Mid Y","Layer","Rotation"
"R25","130.28mm","-77.2mm","top","90.0"
"Q7","155.3625mm","-77.4mm","top","180.0"
"C33","154.425mm","-115.65mm","top","-90.0"
"C73","150.195mm","-119.78mm","top","180.0"
"C67","187.6mm","-62.925mm","top","90.0"
"C61","170.225mm","-113.375mm","top","0.0"
"C57","160.5mm","-77.3mm","top","90.0"
"R49","157.8625mm","-77.3mm","top","-90.0"
"R36","164.875mm","-121.475mm","top","-90.0"
"C80","160.825001mm","-143.799999mm","top","-90.0"
"R40","164.875mm","-118.475mm","top","-90.0"
"C25","194.967846mm","-69.754999mm","top","90.0"
"R28","155.825mm","-115.65mm","top","-90.0"
"D8","196.06mm","-90.959998mm","top","-90.0"
"R59","180.05mm","-77.3mm","top","-90.0"
